"sourceip","destinationurl","visitdate","adrevenue","useragent","countrycode","languagecode","searchword","duration"
"250.129.18.153","nspnulagbilkcrxjdcwtecjcbprdvawhbylnlyeexhvkmhpcrkaghomlokoiklchmlmywjbblr","2012-04-30",0.87532026,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","YEM","YEM-AR","glogeyqucrnf",5
"232.90.168.5","nxcpbekiqnphnflcncqc","2012-04-30",0.73606807,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/525.13 (KHTML like Gecko) Version/3.1Safari/525.13","SRB","SRB-SR","sxffexmsn",4
"14.245.181.31","nsovihkexcqkiwtmelbkyyhqkcymtgwlqnbksrdbohfejobplxpyumkbanwvvosqvdrvwinamnhtqxgkauhk","2012-04-30",0.47760355,"Fwlxd/7.4","AUS","AUS-EN","noq",7
"7.103.53.173","nxcsoohnakijiophdhnibsbojgqeroqwwinkua","2012-04-30",0.0962974,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","GBR","GBR-EN","afrwgticyyccgvb",2
"78.222.219.66","nsmrdwawiejqbbcclnysdnjtbcigotvsph","2012-04-30",0.094501965,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","JPN","JPN-JA","mklevuaigcvaavs",10
"141.6.28.230","nxeajpmaeocothshnephpjpfmeagmgromrfcdh","2012-04-30",0.8637094,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","SAU","SAU-AR","fbrtnwtircublb",9
"53.43.22.60","nslvehahxbuqdoggnwfgesxluuhyaatrjhpbtnmntklsnbhxjd","2012-04-30",0.38328275,"Opera 9.2 (Windows Vista): Opera/9.20 (Windows NT 6.0; U; en)","ESP","ESP-CA","pwclmbrao",9
"204.117.172.241","nxeiiiksnbddjlochllvpaoqsdrkdmjygkwwtnfhawrcvfnkkeju","2012-04-30",0.9402652,"Mcvjwwyykbtxomughb/0.","IRQ","IRQ-AR","dpfcffp",4
"79.27.191.132","nslnbpblrbpwlfbbwgfhukbfycrluamhkgexhbij","2012-04-30",0.70110357,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","IND","IND-HI","tosyabnjaxyk",1
"2.182.131.169","nxeowyyeiakgdxqhmwaqqcdyxxhxrshbqtfmswnepsrrhsnvpoblp","2012-04-30",0.299724,"Ybuicw/0.8","MLT","MLT-EN","ergwavm",8
"43.47.201.191","nsljvjxtwwyseyvqncyiharnqcofmtbuekku","2012-04-30",0.9156239,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","MYS","MYS-MS","vnniambcvyhlmaq",9
"217.133.21.56","nxfwlvtlrkkrnbkvawbhorpvlfuhftnxxryfwptjckucvfqtbgaydldvavbgtkryoemw","2012-04-30",0.23594989,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","UKR","UKR-UK","uiqkrjmvasbgxe",7
"26.187.93.112","nsiughefpygsnudnbrcesmwprystankiofvofftjleqykfhfrbobalipfudcniqsnphfbpybx","2012-04-30",0.97157145,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","UKR","UKR-UK","sngov",5
"47.246.222.94","nxhoaghudfweawxfexjummalxehprtekyabahemyvsg","2012-04-30",0.60715586,"Xruwvmryfcksabs/5.1","JOR","JOR-AR","pammqsby",10
"48.210.107.36","nsfyrcvgelwqh","2012-04-30",0.85742265,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","PAN","PAN-ES","lhpdhtma",1
"34.244.179.169","nxiyvjcrbkrmbynovaypggpnacwymaupbysbiruipyaqxcbmxvwiwyx","2012-04-30",0.09127576,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; Win 9x 4.90)","SGP","SGP-ZH","eoloauljcqyyfsryw",10
"195.214.184.182","nscybivtahyqalkyunnftwpkjcxextkgahpkxknjfmvhdudtyhkxoeiwldbfert","2012-04-30",0.25711676,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","CAN","CAN-FR","tbt",10
"246.146.77.22","nxlcabffyqdkhtmmhlyjapoyikrjklm","2012-04-30",0.94025534,"isiauaqbmpdedoumllersi/5.","CHE","CHE-DE","cxd",5
"242.65.71.8","nsbwdfxgmypcbsmybcclsjkuiqvrjeibv","2012-04-30",0.0195215,"Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)","POL","POL-PL","midtesbyooipowdxq",9
"79.241.149.134","nxlcpcfnigioicgpupddqybbgbilgc","2012-04-30",0.70662105,"Ukvctapd/6.5","LUX","LUX-FR","biygsihbhvpffhy",9
"3.252.220.83","nsaykimfjvxqicinkwodjwnraobqegidrjrgmslsbteycmt","2012-04-30",0.7643652,"Ujvlmhhlhulc/8.4","CHL","CHL-ES","qjgjxckinulhwltr",8
"215.165.42.247","nxlmqfqwpxihosfxqwakdgmignyq","2012-04-30",0.5839797,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","EST","EST-ET","xlcaxpbrlgwo",9
"98.100.67.208","nsavywblurtkdmcntvx","2012-04-30",0.6320889,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","NLD","NLD-NL","tljlkassbcgb",7
"202.224.212.81","nxltiehwctnrigfckwweqrkd","2012-04-30",0.55621547,"Qscjxni/.8","ARE","ARE-AR","lely",3
"139.166.166.204","nsaotjyodrlrinuayniuxjucwkkcxhufpkvvifdnowbuhj","2012-04-30",0.12232433,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","LUX","LUX-FR","jadefqjiljjo",4
"239.37.186.58","nxmieaufahspsjriiswmpseqyjyoyyedrndssfsmsgpnqiipi","2012-04-30",0.28237128,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","CUB","CUB-ES","ohiqsronkj",2
"194.234.55.238","nryprhhsospangqlrundvyakcsvgmisbfykdkwgtciedsgjnbjlitatdavulwikjhfyiotajexxtv","2012-04-30",0.6535557,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","SDN","SDN-AR","hvwsdoavh",4
"83.102.125.176","nxnflhjmrwsptupwkppldojxxfamioyqm","2012-04-30",0.863789,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","IRQ","IRQ-AR","ulj",7
"175.64.180.145","nrymymkpmelshvynpwqwyhrysgngpqruvokdnsqsnxunrefsnsybohevscyooakifrscjfsohfpfhxtutmwpl","2012-04-30",0.7630196,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","UKR","UKR-UK","vmn",3
"228.190.193.52","nxpaaoigmafovrqvgtfafekfpufukho","2012-04-30",0.550727,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","HND","HND-ES","garw",5
"26.83.231.254","nrvtnpweiqbteyovoykhquthdfwa","2012-04-30",0.16620085,"Opera 7.5 (Win XP): Opera/7.50 (Windows XP; U)","HUN","HUN-HU","mqfpwvwvp",3
"78.247.52.192","nxqnnejnpudwcnejteknpjglntxnrmvknrsyiakkrjdylvtfxqanqsekaivita","2012-04-30",0.40049618,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/525.13 (KHTML like Gecko) Version/3.1Safari/525.13","IRL","IRL-GA","wqksxapkfm",4
"247.75.241.251","nruhvecxtgd","2012-04-30",0.05708482,"Rvxouapds/2.2","RUS","RUS-RU","qf",4
"20.45.239.37","nxraqqrdgxyxkfdlyamur","2012-04-30",0.56478703,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","MNE","MNE-SR","bmxbhdnqwoibj",7
"229.8.183.23","nrstvbbmefaivaeqpcctysvpjuoggtlepstvrrsxvtsggasqvtxmynfhblejbjhpcs","2012-04-30",0.012344055,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","UKR","UKR-UK","rfadnsgmun",9
"229.44.68.21","nxroomtcmktnssbrswarddhacrvtwidrkpdyqnkvdipqvcwhrleshmvncqesdfjrlgvjrrxwg","2012-04-30",0.23355637,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","PRI","PRI-ES","oaoeuiexakk",7
"169.82.111.146","nrplonpkdwoesyfgjyfivwqqcnrpysvspoypgbkkgnpbvjbgtdunhkcwmgr","2012-04-30",0.32966775,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","CAN","CAN-EN","xnwgrfydyhgk",4
"83.176.151.243","nxsnsgktsnkasane","2012-04-30",0.49090543,"Myqndkbkkj/6.7","QAT","QAT-AR","tpksbsueashadtj",3
"46.126.226.169","nrpjnyxysjvsgeflih","2012-04-30",0.16588457,"Mozilla/5.0 (Windows; U; Windows NT 5.1)Gecko/20070803 Firefox/1.5.0.12","MNE","MNE-SR","egobtwcsa",2
"60.231.61.222","nxsnwphmygmnmjwbvm","2012-04-30",0.5073038,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","IDN","IDN-IN","rmjy",1
"119.218.202.193","nrpcyjntahdesuhfeigwmudtlprdbfhktrvgvinvrscnalsdwmstxunbrputevxpohfhraiacuqjpmcfkuiv","2012-04-30",0.70252913,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","GRC","GRC-EL","qokxcfpowc",7
"186.186.203.134","nxsvkkjmdstvoseytxbgvpsfodtpaeohujejuixvgoyivowjrahxlovanfjejyrcfginyhpguqgwcxdfnipp","2012-04-30",0.284859,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/525.13 (KHTML like Gecko) Version/3.1Safari/525.13","OMN","OMN-AR","dcbabaqkpuab",2
"49.139.149.57","nrojmlqfmchgsedwbperdv","2012-04-30",0.6661392,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","CUB","CUB-ES","uekephmm",5
"219.144.164.139","nxtiovtfsedeodrlyvvhlqxieojlixygrjdalwq","2012-04-30",0.994936,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","GRC","GRC-DE","urigwxel",8
"124.119.133.78","nrnteprpubumtgvdbxylwbeywcptvdoqgehgwnpygjjkghnovujcfqfxbfnnseujycwqyjvffceabngtbjbjc","2012-04-30",0.32155687,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.12)Gecko/20080219 Firefox/2.0.0.12	Navigator/9.0.0.6","NOR","NOR-NO","fnuqtrxrcfp",5
"128.107.99.199","nxuibactaotffiygovnpjdlebrhbllipig","2012-04-30",0.5542812,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","HRV","HRV-HR","bhts",3
"151.126.41.37","nrmrwumlxaxequdfcrkxcxesfeitnkqpoet","2012-04-30",0.76446295,"Umtyoit/7.2","NIC","NIC-ES","atsxuhrr",1
"127.32.84.1","nxusykubprdbsxymfdnwikpqblhfiyrrnnvlehcuawiwcbicmuecnb","2012-04-30",0.90787274,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","ALB","ALB-SQ","ergwavm",5
"214.59.80.153","nrllnksbsdbkfvqfplulnhyjfwfbuwyxkohiqnjfriemntlhlfjhmiegfcyvuhsylwfmxqjbnnbnqv","2012-04-30",0.7596303,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","GRC","GRC-EL","uekephmm",9
"120.141.22.23","nxuwxhaej","2012-04-30",0.5034229,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","ROU","ROU-RO","jqcgpxodmnfwwf",7
"185.64.184.250","nrlfhxduqiwlpamfpsdhq","2012-04-30",0.02896029,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","SWE","SWE-SV","dpfynkbujr",4
"51.90.102.224","nxvmhtfnndnermmfkahfoaigvvhnkdyrtufpmlomynsikeebwifdeyv","2012-04-30",0.9641037,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","CUB","CUB-ES","snumrdareks",5
"127.172.49.199","nrlbeglksixdaqijnlxuxodtgcctwa","2012-04-30",0.5811107,"Netscape 4.8 ( Win XP): Mozilla/4.8 (Windows NT 5.1; U)","EST","EST-ET","fnb",5
"253.219.56.80","nxwkeudsmohxujkyrfvbsfkmtdhafgphctjcvdldhofaspnykdwtaerymbhw","2012-04-30",0.42388177,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","QAT","QAT-AR","oeaqba",10
"45.238.241.6","nrkdbilulapaunuyrosppkjxybquyyrudkmtfmfghjsfjjypnokshc","2012-04-30",0.78999305,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","BOL","BOL-ES","npiwxdylya",1
"153.250.172.73","nxwxwqcaefnvp","2012-04-30",0.48311493,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","IDN","IDN-IN","sjbptdatlhtcr",9
"59.244.148.198","nrjealbybt","2012-04-30",0.21108156,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","MYS","MYS-MS","ifrmsmr",6
"108.191.37.92","nxxbsugjsmadgxkkvqtxkqfiltjlosdtmek","2012-04-30",0.3811603,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","CHE","CHE-IT","cejbpssvonjw",3
"12.215.178.98","nrjdupisuywcatydaywocwixewvwtv","2012-04-30",0.86343765,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","LBN","LBN-AR","wcnh",1
"222.39.87.126","nxyfrceaniynujxtwfcaqyavlkwewcm","2012-04-30",0.40996233,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","ISL","ISL-IS","rgoih",1
"169.164.200.179","nripdbrvhlijshcwrxnxyoiimmxorimuhjhntgysijeqtrcjxtftjkjgmcgvikyqirhmvmfmwtwfdkqxehese","2012-04-30",0.96317416,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","CUB","CUB-ES","knqhfjltkclfqnmv",3
"245.135.160.58","nxytlnutwclfbhgurapqdeliciesfsoqqfjpmmucuhervilaggphguaeiafkmttiubk","2012-04-30",0.55091923,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","MAR","MAR-AR","efkduuy",7
"199.85.187.64","nrifdnhgftqfyohselhnwsvfowitawexicmgmomsbpummoufusmyehatletbwgyeqwnlpxqpeqymm","2012-04-30",0.10047863,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","CHE","CHE-IT","sntsspgaosx",2
"30.11.83.239","nyacolsqrvismcciuqnt","2012-04-30",0.81663895,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.12)Gecko/20080219 Firefox/2.0.0.12	Navigator/9.0.0.6","CUB","CUB-ES","icnsqj",6
"71.198.101.161","nrhvbqeryidbjaewltdvdqbheahiiwmwsenl","2012-04-30",0.95764935,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","BEL","BEL-FR","ylpfqtpwj",5
"147.187.97.28","nybrnudjiwgxnryoxxhdxxtxfkdwphwkciiixwveixlipnuekphrnqmxqbqpersqgmtdkquthn","2012-04-30",0.16618873,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","CYP","CYP-EL","hbskpyf",4
"162.11.59.251","nrflqtpwppcbwfobjlocjqojjyjesqjtnfhogarexrcrtdnojvsjooutvlbgwqgsjjdfhumbiukpp","2012-04-30",0.3100727,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/525.13 (KHTML like Gecko) Version/3.1Safari/525.13","BIH","BIH-SR","ssbvyttk",9
"9.253.185.31","nyecaoobeujmjmxqbgfnvqfvtmihopb","2012-04-30",0.09700267,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","VNM","VNM-VI","sxmgkfwg",4
"191.91.39.135","nrfatjqmykmmmogmxfcjggyfbudxiluylisqnhbnwdcvdixagappkglniofhplh","2012-04-30",0.38350803,"Opera/8.0 (Macintosh; PPC Mac OS X; U; en)","BHR","BHR-AR","ybofbtmwwsiwiq",7
"211.41.82.105","nyedwemsbimjnyfhhkwiewjxjgigkingoeyoergvevbnxfxfphitwj","2012-04-30",0.7588053,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","SRB","SRB-SR","hldjnskyakrlorxf",7
"238.130.48.111","nrbkgqwwfdrtdvx","2012-04-30",0.75050914,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","CHE","CHE-FR","lkbacun",5
"141.26.96.166","nyiafvqbwulvbjflpx","2012-04-30",0.213104,"Netscape 7.1 (Win 98): Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.4) Gecko Netscape/7.1 (ax)","NOR","NOR-NO","abuo",8
"198.106.98.174","nragqmqygwvibraxmq","2012-04-30",0.24940223,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","QAT","QAT-AR","qqpofgkdukcubkbc",6
"147.99.159.252","nyiquwmgoxiddnahhncreictdlrfwqrhwyqmgqlmdnwcjp","2012-04-30",0.18515553,"Hjvinbgnr/0.1","CHE","CHE-IT","jktpvmkchqnr",4
"220.175.215.96","nqyexatehawtkmaohiiwkilkaaabwrclfepdknyctbeqawaxewui","2012-04-30",0.40588215,"Fkwupmfsjbtaknwsqpawd/1.1","TWN","TWN-ZH","hajqhxpvbkxlxkoqt",3
"116.156.29.4","nyjbjgrqxbcddaaxjqpyucfqiokyjjejhepvsofdphgkihhyfinouchaqiavmkajxjuab","2012-04-30",0.1732302,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","RUS","RUS-RU","qvohbqckfnaa",8
"122.34.69.190","nqwqebordrtmfketwtqdanhnsgdovjgtcucmavanrjefniftkxxcmgamjvjjniceoqqqvyawdfrdeanwvkgh","2012-04-30",0.4388965,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","JPN","JPN-JA","iccjebrcinbeoy",3
"92.36.149.225","nyjsrnfsduqngiixchtnojqvpnwakalrb","2012-04-30",0.8037124,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/0.2.149.27 Safari/525.13","DNK","DNK-DA","lwxoybomnmjrwg",2
"75.72.77.211","nqwkibbivmwclefeomilrsutsiwcbmnehyvcwlnlm","2012-04-30",0.5255433,"Tiynwwkmqwrlapjltncqlc/4.1","SGP","SGP-EN","loofcdtih",4
"44.183.175.13","nyjvpfphth","2012-04-30",0.14506422,"Srsmuhvngdk/4.6","SRB","SRB-SR","jtclwfhcfrc",10
"161.45.106.7","nquyqmkacedrlkspsejaocltjlvglbenmjmyvljalborwdbllrguiqnbjqhkecujmxcfy","2012-04-30",0.48228684,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","AUS","AUS-EN","dcbabaqkpuab",5
"87.131.36.48","nylioofwftkqfhflwuincqsgimwsbcqkiednweitetsoxebjtfrwyduua","2012-04-30",0.14811578,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","GRC","GRC-DE","ieeidbaqkxvycnich",10
"39.120.5.144","nqunlpmtwuunoucktvwrownrq","2012-04-30",0.24230188,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","CHE","CHE-DE","jjnfthafwwk",8
"106.125.137.90","nympaniikjspalqnuynxarcdrwpsa","2012-04-30",0.39039028,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","URY","URY-ES","wjyeftxsvgpew",8
"131.249.225.194","nqtqgeaqdxdckuyeunhdwanrqndcooi","2012-04-30",0.48534745,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","DOM","DOM-ES","wvjsqtjjs",6
"119.224.176.31","nynwewcnadfalbskquurfsehybxity","2012-04-30",0.17113839,"Myqndkbkkj/6.7","UKR","UKR-UK","tpksbsueashadtj",3
"149.154.227.191","nqswgubvvxuresriutobaqqba","2012-04-30",0.19327651,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","BEL","BEL-NL","rfadnsgmun",3
"101.79.194.235","nynxolitcahbicjcfxqhddeoatelfkarfqjowwhflqqqjn","2012-04-30",0.72471935,"Nlquwhciqtvh/4.5","IRL","IRL-GA","uijm",2
"217.166.122.20","nqsufwwqescwahdpdoybrytgetaodxdaijuyjrbvnnbkmtlfsxgqfrnirppxjxhlivbilxnhoubxfopmixylbp","2012-04-30",0.6911947,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","CAN","CAN-FR","ffbxvrgybrmk",5
"30.239.242.125","nypvjciovcaoinbeaocwrkobunjnbiqxroj","2012-04-30",0.9959312,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","SYR","SYR-AR","fnw",6
"65.155.131.57","nqryeademvghriqhnbunhrrlxjrslydyerkuviusiexweggkccjlrnqdspjcsgxwyrvl","2012-04-30",0.46110377,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","ISL","ISL-IS","xyyifwcjc",5
"119.195.77.140","nyqqmtfqikhcwmifjngfoeahctybdsngygveyukp","2012-04-30",0.55584294,"Pwmvraswsbwlouinxku/6.2","DNK","DNK-DA","rvejjldsrtvytxw",5
"216.23.82.166","nqrbrybjcawngusgecacrvhiorkwlow","2012-04-30",0.90067333,"Hhgbpfkrquttonnxiitjob/7.8","ITA","ITA-IT","tsnmxdjapj",5
"39.155.175.136","nyrjofvfdufsioumtprllksqjtymkyanpicllkcgaoopncltwcsvejdpwo","2012-04-30",0.7445353,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","HUN","HUN-HU","jbsgy",9
"5.77.32.18","nqqpxddjnhkausrbkvssiiybjimnueyjyjjrnyrtexm","2012-04-30",0.17367868,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","SYR","SYR-AR","fwk",1
"237.120.205.185","nyrqguyrfaouupotfiwpvsjfbuyeed","2012-04-30",0.5720148,"Felcdq/7.0","ARE","ARE-AR","xrlxwsikfsbuf",7
"136.93.163.89","nqqjpqcbadkoidxfcixfopgmxtyuxfrgkbxaqwomcdbhlmfuuqbynxjcoiriydmjhflxi","2012-04-30",0.090975836,"Upbasjutrqeoxqk/6.2","CUB","CUB-ES","svsb",10
"50.243.245.41","nyrsnhptyilihtluchkbyjgtvrtpwsyqfeofyskbwscvqunahdlpgvaobdrbqabvkhbiynsodwlxueaxqjknme","2012-04-30",0.5177774,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","ESP","ESP-CA","txxpbcfvyybnlopu",2
"198.204.67.188","nqlsstkbkesyupswlwomtithwngutwpnuqfwqlmca","2012-04-30",0.73116076,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","NOR","NOR-NO","qptax",6
"11.117.159.240","nyrwgrostlqkeoyrjfkkrggwdopodmhxihgwkmfohiqucpsfifnqksglpbrgxdaybpyfs","2012-04-30",0.26667586,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","NLD","NLD-NL","uqydsdofaysph",1
"249.78.79.200","nqjqgfwtslguyldecotmkrnojtpdhplcyythklvpnpma","2012-04-30",0.60115844,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","SLV","SLV-ES","hljfakltk",10
"85.47.48.252","nyschovirgsnkmlqbxsrinajavnjvjbejwswrbfiyqmwnvwutyjnrowxydxsmgwvvjauyphokoelnun","2012-04-30",0.9053527,"Bbvynyjjlv/.","CHE","CHE-IT","ojvospdyrurvane",10
"208.211.136.1","nqhkgibbibquuyiyixgdejqhncaqnxglfudetmfcylikiuaunlhywulhdxnvbamkth","2012-04-30",0.7112346,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","USA","USA-EN","cpohys",3
"217.7.219.67","nyucweitytmsknliahjnphdamnubvelclqvmmyqbprhurxbtgcuobcuhavblhmdtavsfngmjtjaticiobfxhoya","2012-04-30",0.30296293,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","JPN","JPN-JA","pvoyp",4
"249.14.96.62","nqgpqvehtogktunjchryfixategiojpjbmfcwqrpyvdvjfhatenldoenuxhgubtpegeyohwqvdwfmcp","2012-04-30",0.9716744,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","ARE","ARE-AR","qmwrepybhennwktq",1
"82.250.24.32","nyvdjnpbxkefkxfxvwliloqsroncttnqmwvgibmlpyylpmnnneqgdopqgbbaiscafbtoimfotchyvioyi","2012-04-30",0.5777221,"Sushvaf/1.7","DZA","DZA-AR","rfadnsgmun",4
"65.94.60.186","nqfxlarvqiqioarbswsc","2012-04-30",0.3236255,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","DZA","DZA-AR","lvkytxqroviikpqe",4
"174.250.143.62","nyvkdwlvclvvlvqugtqkkkovvdgkysandvuxedxcoeuwkrhqljotrd","2012-04-30",0.72010595,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","USA","USA-ES","rn",10
"237.221.181.193","nqevpmwjiyrafrjfufmjgcultrnyvxixxygarpgghtvqmarv","2012-04-30",0.7370898,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","GBR","GBR-EN","ntx",1
"93.133.31.127","nyvkljrnkooyf","2012-04-30",0.44572976,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","JOR","JOR-AR","sntsspgaosx",3
"96.101.208.80","nqedaqclcddliphglnjcnlqsoomrfkgefnlscqrsdlgbldcbtjvmgfojkldhbjhcjiahqrj","2012-04-30",0.04047427,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","EGY","EGY-AR","vpxhrknujq",1
"132.1.129.77","nywufrfkgghgakywge","2012-04-30",0.75072044,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","NLD","NLD-NL","jnfk",1
"97.172.224.36","nqdoyearoqctpatnywtvyvbdbiecjhppfodjahda","2012-04-30",0.5853743,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","LTU","LTU-LT","leqojhtcfppii",3
"132.135.199.188","nyympncvigtqjcnwucyxtlrlbsujnyylivq","2012-04-30",0.23176037,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","ESP","ESP-ES","fndarlyrgvive",2
"187.165.68.15","nqdlhurkycjrkmuguylmsdxxkxvirfcvmqyxosvohtghhgvehtdkwsnqcqgaeownumbyiwjasommtoyvh","2012-04-30",0.60552996,"Qethggkghqfpjipy/6.4","ARG","ARG-ES","ohcpmyloebd",9
"218.36.100.117","nyyvnpprwpkvttfmcwewpberbepxgcbyysframuhkdxfwnotetmjrocfova","2012-04-30",0.66214573,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","GBR","GBR-EN","ypuxqeh",6
